,name,team,position,gamesPlayed,fumblesForced,fumblesRecovered,fumblesTouchdowns,completions,passingAttempts,completionPct,passingYards,yardsPerPassAttempt,passingYardsPerGame,longPassing,passingTouchdowns,interceptions,sacks,sackYardsLost,QBR,QBRating,adjQBR,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingBigPlays,rushingTouchdowns,rushingYardsPerGame,rushingFumbles,rushingFumblesLost,rushingFirstDowns,receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,receivingBigPlays,receivingYardsPerGame,receivingFumbles,receivingFumblesLost,receivingYardsAfterCatch,receivingFirstDowns,soloTackles,assistTackles,totalTackles,sacks,sackYards,tacklesForLoss,passesDefended,longInterception,interceptions,interceptionYards,interceptionTouchdowns,rushingTouchdowns,receivingTouchdowns,returnTouchdowns,totalTouchdowns,fieldGoals,kickExtraPoints,totalTwoPointConvs,totalPoints,totalPointsPerGame,kickReturns,kickReturnYards,yardsPerKickReturn,longKickReturn,kickReturnTouchdowns,puntReturns,puntReturnYards,yardsPerPuntReturn,longPuntReturn,puntReturnTouchdowns,puntReturnFairCatches,fieldGoalsMade,fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,fieldGoalsMade1_19,fieldGoalsMade20_29,fieldGoalsMade30_39,fieldGoalsMade40_49,fieldGoalsMade50,fieldGoalAttempts1_19,fieldGoalAttempts20_29,fieldGoalAttempts30_39,fieldGoalAttempts40_49,fieldGoalAttempts50,extraPointsMade,extraPointAttempts,extraPointPct,punts,puntYards,longPunt,grossAvgPuntYards,netAvgPuntYards,puntsBlocked,puntsInside20,touchbacks,fairCatches,puntReturns,puntReturnYards,avgPuntReturnYards
0,Riley Dixon,Broncos,P,15.0,0.0,0.0,0.0,1.0,1.0,100.0,3.0,3.0,0.20000000298023224,3.0,0.0,0.0,0.0,0.0,,79.16699981689453,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,3343.0,65.0,47.084999084472656,42.25400161743164,0.0,32.0,5.0,21.0,27.0,243.0,9.0
1,Stefon Diggs,Texans,WR,8.0,0.0,0.0,0.0,1.0,1.0,100.0,13.0,13.0,1.625,13.0,0.0,0.0,0.0,0.0,8.17,118.75,14.53,3.0,8.0,2.6670000553131104,6.0,0.0,1.0,1.0,0.0,0.0,1.0,47.0,64.0,496.0,10.553000450134277,3.0,49.0,5.0,62.0,0.0,0.0,185.0,31.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,24.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,JK Scott,Chargers,P,15.0,0.0,0.0,0.0,1.0,1.0,100.0,3.0,3.0,0.20000000298023224,3.0,0.0,0.0,0.0,0.0,,79.16699981689453,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,3223.0,67.0,46.709999084472656,41.88399887084961,0.0,27.0,4.0,22.0,27.0,253.0,9.369999885559082
3,Courtland Sutton,Broncos,WR,15.0,0.0,0.0,0.0,2.0,2.0,100.0,30.0,15.0,2.0,28.0,1.0,0.0,0.0,0.0,99.99,158.33299255371094,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,119.0,928.0,13.069999694824219,6.0,37.0,15.0,61.86666488647461,1.0,1.0,162.0,49.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,36.0,2.4000000953674316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,David Montgomery,Lions,RB,14.0,0.0,0.0,0.0,1.0,1.0,100.0,3.0,3.0,0.2142857164144516,3.0,1.0,0.0,0.0,0.0,99.99,118.75,99.99,185.0,775.0,4.189000129699707,21.0,1.0,12.0,55.35714340209961,1.0,0.0,50.0,36.0,38.0,341.0,9.472000122070312,0.0,40.0,2.0,24.35714340209961,0.0,0.0,365.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,72.0,5.14300012588501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cedrick Wilson Jr.,Saints,WR,13.0,0.0,0.0,0.0,1.0,1.0,100.0,21.0,21.0,1.615384578704834,21.0,1.0,0.0,0.0,0.0,99.99,158.33299255371094,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,172.0,12.28600025177002,1.0,25.0,1.0,13.230769157409668,0.0,0.0,60.0,7.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.4620000123977661,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Justin Jefferson,Vikings,WR,15.0,0.0,0.0,0.0,1.0,1.0,100.0,22.0,22.0,1.4666666984558105,22.0,0.0,0.0,0.0,0.0,29.2,118.75,27.62,1.0,3.0,3.0,3.0,0.0,0.0,0.20000000298023224,0.0,0.0,0.0,92.0,134.0,1387.0,15.076000213623047,10.0,97.0,26.0,92.46666717529297,1.0,0.0,405.0,59.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,60.0,4.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
7,Amon-Ra St. Brown,Lions,WR,15.0,0.0,0.0,0.0,1.0,1.0,100.0,7.0,7.0,0.46666666865348816,7.0,1.0,0.0,0.0,0.0,99.52,135.41700744628906,99.53,2.0,6.0,3.0,10.0,0.0,0.0,0.4000000059604645,0.0,0.0,1.0,101.0,124.0,1126.0,11.14900016784668,11.0,66.0,13.0,75.06666564941406,1.0,1.0,380.0,63.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,66.0,4.400000095367432,0.0,0.0,0.0,0.0,0.0,2.0,15.0,7.5,8.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Jaxon Smith-Njigba,Seahawks,WR,16.0,0.0,0.0,0.0,1.0,1.0,100.0,35.0,35.0,2.1875,35.0,0.0,0.0,0.0,0.0,99.99,118.75,99.99,4.0,22.0,5.5,8.0,0.0,0.0,1.375,0.0,0.0,1.0,96.0,132.0,1121.0,11.677000045776367,6.0,46.0,14.0,70.0625,1.0,0.0,465.0,55.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,36.0,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Taylor Heinicke,Chargers,QB,3.0,,,0.0,3.0,3.0,100.0,28.0,9.333000183105469,9.333333015441895,18.0,0.0,0.0,3.0,28.0,4.47,105.55599975585938,6.05,1.0,12.0,12.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
