team1_completions,team1_passingAttempts,team1_completionPct,team1_passingYards,team1_yardsPerPassAttempt,team1_passingYardsPerGame,team1_longPassing,team1_passingTouchdowns,team1_QBR,team1_QBRating,team1_adjQBR,team1_rushingAttempts,team1_rushingYards,team1_yardsPerRushAttempt,team1_longRushing,team1_rushingBigPlays,team1_rushingTouchdowns,team1_rushingTouchdowns,team1_rushingTouchdowns,team1_rushingTouchdowns,team1_rushingYardsPerGame,team1_rushingFumbles,team1_rushingFumblesLost,team1_rushingFirstDowns,team1_receptions,team1_receivingTargets,team1_receivingYards,team1_yardsPerReception,team1_receivingTouchdowns,team1_receivingTouchdowns,team1_receivingTouchdowns,team1_receivingTouchdowns,team1_longReception,team1_receivingBigPlays,team1_receivingYardsPerGame,team1_receivingFumbles,team1_receivingFumblesLost,team1_receivingYardsAfterCatch,team1_receivingFirstDowns,team1_totalTouchdowns,team1_fieldGoals,team1_kickExtraPoints,team1_totalTwoPointConvs,team1_totalPoints,team1_totalPointsPerGame,team1_fieldGoalsMade,team1_fieldGoalAttempts,team1_fieldGoalPct,team1_longFieldGoalMade,team1_fieldGoalsMade1_19,team1_fieldGoalsMade20_29,team1_fieldGoalsMade30_39,team1_fieldGoalsMade40_49,team1_fieldGoalsMade50,team1_fieldGoalAttempts1_19,team1_fieldGoalAttempts20_29,team1_fieldGoalAttempts30_39,team1_fieldGoalAttempts40_49,team1_fieldGoalAttempts50,team1_extraPointsMade,team1_extraPointAttempts,team1_extraPointPct,team1_fumblesForced,team1_fumblesRecovered,team1_fumblesTouchdowns,team1_interceptions,team1_interceptions,team1_interceptions,team1_interceptions,team1_sacks,team1_sacks,team1_sacks,team1_sacks,team1_sackYardsLost,team1_soloTackles,team1_assistTackles,team1_totalTackles,team1_sackYards,team1_tacklesForLoss,team1_passesDefended,team1_longInterception,team1_interceptionYards,team1_punts,team1_puntYards,team1_longPunt,team1_grossAvgPuntYards,team1_netAvgPuntYards,team1_puntsBlocked,team1_puntsInside20
302.0,445.0,134.54000091552734,3972.0,14.614999771118164,250.58750009536743,100.0,39.0,192.04000000000002,915.3130035400391,194.92,520.0,2969.0,31.960999846458435,227.0,26.0,19.0,19.0,19.0,19.0,194.70416629314423,11.0,5.0,156.0,301.0,422.0,3966.0,191.45499992370605,39.0,39.0,39.0,39.0,547.0,53.0,269.65416622161865,2.0,1.0,1982.0,187.0,58.0,22.0,55.0,1.0,471.0,30.295000314712524,22.0,30.0,73.33300018310547,56.0,0.0,4.0,7.0,5.0,6.0,0.0,4.0,7.0,8.0,11.0,55.0,57.0,96.49099731445312,12.0,5.0,-9.0,4.0,10.0,4.0,10.0,24.0,49.5,24.0,49.5,154.0,612.0,385.0,997.0,301.5,77.0,77.0,69.0,70.0,51.0,2372.0,70.0,46.5099983215332,41.744998931884766,0.0,21.0
272.0,424.0,136.35599899291992,3549.0,18.282999992370605,310.1538391113281,121.0,27.0,251.20999999999998,860.6140060424805,252.61,469.0,2209.0,51.167999505996704,188.0,13.0,19.0,19.0,19.0,19.0,176.93772795796394,6.0,2.0,125.0,272.0,409.0,3549.0,137.87600088119507,27.0,27.0,27.0,27.0,445.0,55.0,256.18972530961037,2.0,2.0,1810.0,153.0,46.0,16.0,27.0,2.0,355.0,28.335000216960907,16.0,17.0,94.11799621582031,55.0,0.0,4.0,7.0,3.0,2.0,0.0,4.0,7.0,4.0,2.0,27.0,27.0,100.0,15.0,13.0,0.0,11.0,15.0,11.0,15.0,16.0,40.5,16.0,40.5,93.0,604.0,365.0,969.0,268.5,78.0,51.0,160.0,240.0,49.0,2280.0,74.0,46.53099822998047,42.143001556396484,0.0,21.0
304.0,468.0,230.42899322509766,3459.0,33.52199983596802,362.99999237060547,120.0,20.0,206.47,1140.6860046386719,205.41,510.0,2092.0,25.090999603271484,137.0,11.0,13.0,13.0,13.0,13.0,162.60929426550865,9.0,4.0,116.0,316.0,452.0,3625.0,150.14400005340576,20.0,20.0,20.0,20.0,399.0,57.0,250.8794776648283,5.0,3.0,1614.0,159.0,34.0,40.0,33.0,0.0,357.0,24.474999755620956,40.0,43.0,93.02300262451172,57.0,0.0,9.0,12.0,7.0,12.0,0.0,9.0,12.0,8.0,14.0,33.0,33.0,100.0,20.0,15.0,-12.0,6.0,16.0,6.0,16.0,45.0,39.5,45.0,39.5,314.0,629.0,415.0,1044.0,265.5,82.0,71.0,165.0,209.0,63.0,2948.0,172.0,141.20000076293945,122.75,0.0,26.0
316.0,460.0,168.55899810791016,3296.0,11.178999900817871,220.79999697208405,67.0,16.0,163.47,848.8300018310547,147.74,414.0,2187.0,39.87999963760376,201.0,15.0,16.0,16.0,16.0,16.0,167.08131571114063,10.0,4.0,121.0,316.0,446.0,3296.0,99.33599948883057,16.0,16.0,16.0,16.0,333.0,35.0,254.8114815428853,5.0,4.0,1692.0,161.0,33.0,31.0,31.0,3.0,328.0,29.480000257492065,31.0,35.0,186.20700073242188,115.0,0.0,6.0,12.0,9.0,4.0,0.0,6.0,12.0,13.0,4.0,31.0,31.0,200.0,14.0,8.0,-6.0,9.0,7.0,9.0,7.0,26.0,39.0,26.0,39.0,182.0,592.0,440.0,1032.0,228.0,79.0,51.0,12.0,12.0,46.0,2219.0,161.0,131.65800094604492,120.31600189208984,0.0,19.0
301.0,473.0,127.5620002746582,3183.0,13.484999656677246,385.34849548339844,145.0,20.0,169.74,911.6689987182617,169.81,388.0,1611.0,29.08999991416931,130.0,7.0,11.0,11.0,11.0,11.0,124.75303292274475,10.0,6.0,97.0,286.0,430.0,3010.0,134.20499992370605,19.0,19.0,19.0,19.0,481.0,36.0,219.9530343413353,2.0,1.0,1444.0,134.0,30.0,44.0,48.0,2.0,364.0,40.25999966263771,44.0,52.0,253.78900146484375,153.0,0.0,11.0,10.0,16.0,7.0,0.0,11.0,11.0,21.0,9.0,48.0,48.0,300.0,9.0,7.0,-14.0,20.0,11.0,20.0,11.0,47.0,30.0,47.0,30.0,273.0,667.0,420.0,1087.0,190.0,90.0,49.0,48.0,86.0,65.0,3323.0,75.0,51.12300109863281,38.29899978637695,2.0,19.0
307.0,475.0,126.73800277709961,2987.0,12.062000274658203,314.55843353271484,90.0,16.0,124.61,875.692008972168,126.2,396.0,1796.0,45.04299998283386,177.0,8.0,10.0,10.0,10.0,10.0,143.88268168270588,13.0,4.0,92.0,296.0,423.0,2883.0,106.89399909973145,15.0,15.0,15.0,15.0,311.0,30.0,207.44505516439676,4.0,1.0,1570.0,145.0,25.0,34.0,29.0,3.0,287.0,27.5349999666214,34.0,42.0,168.33399963378906,118.0,0.0,8.0,13.0,7.0,6.0,0.0,9.0,14.0,10.0,9.0,29.0,31.0,183.1520004272461,13.0,5.0,-9.0,11.0,7.0,11.0,7.0,47.0,27.5,47.0,27.5,309.0,549.0,384.0,933.0,145.5,57.0,62.0,49.0,49.0,63.0,3155.0,75.0,50.07899856567383,41.38100051879883,0.0,27.0
339.0,542.0,219.88100051879883,3774.0,25.989999771118164,259.4375,105.0,19.0,141.6,912.8070068359375,153.95000000000002,366.0,1561.0,35.14199995994568,212.0,12.0,13.0,13.0,13.0,13.0,123.65149614214897,3.0,2.0,77.0,366.0,576.0,4121.0,122.6850004196167,21.0,21.0,21.0,21.0,418.0,48.0,347.76259012520313,3.0,0.0,1773.0,208.0,34.0,35.0,32.0,0.0,341.0,25.949999898672104,35.0,41.0,85.36599731445312,59.0,0.0,7.0,11.0,4.0,13.0,0.0,9.0,11.0,5.0,16.0,32.0,33.0,96.97000122070312,12.0,8.0,-2.0,12.0,19.0,12.0,19.0,53.0,47.5,53.0,47.5,415.0,626.0,372.0,998.0,318.0,97.0,86.0,228.0,275.0,72.0,3458.0,69.0,48.02799987792969,44.06800079345703,1.0,37.0
308.0,492.0,125.94800186157227,3318.0,13.321000099182129,363.625,147.0,16.0,114.22,873.7529983520508,121.83,350.0,1493.0,26.78300040960312,165.0,7.0,12.0,12.0,12.0,12.0,116.68838699162006,7.0,3.0,88.0,321.0,490.0,3512.0,173.92199993133545,17.0,17.0,17.0,17.0,471.0,52.0,338.6690664291382,4.0,3.0,1584.0,163.0,31.0,22.0,23.0,4.0,283.0,21.673000305891037,22.0,24.0,91.66699981689453,59.0,0.0,7.0,6.0,6.0,3.0,0.0,7.0,6.0,7.0,4.0,23.0,23.0,100.0,4.0,3.0,-4.0,14.0,5.0,14.0,5.0,28.0,26.0,28.0,26.0,220.0,634.0,368.0,1002.0,192.0,70.0,62.0,38.0,38.0,82.0,4017.0,139.0,96.70399856567383,84.37800216674805,0.0,40.0
300.0,484.0,126.49800109863281,2938.0,12.234000205993652,327.25,122.0,17.0,108.49000000000001,1029.047004699707,103.61,365.0,1684.0,40.47700023651123,162.0,12.0,15.0,15.0,15.0,15.0,139.29285484552383,4.0,2.0,88.0,262.0,388.0,2483.0,121.50899934768677,14.0,14.0,14.0,14.0,376.0,30.0,241.47023570537567,5.0,3.0,1178.0,119.0,29.0,21.0,26.0,1.0,265.0,20.192000061273575,21.0,24.0,87.5,53.0,0.0,7.0,7.0,6.0,1.0,0.0,7.0,8.0,8.0,1.0,26.0,28.0,92.85700225830078,7.0,7.0,0.0,15.0,8.0,15.0,8.0,31.0,23.5,31.0,23.5,185.0,599.0,441.0,1040.0,189.0,48.0,57.0,40.0,77.0,65.0,2957.0,65.0,45.492000579833984,41.98500061035156,0.0,19.0
529.0,805.0,330.5880012512207,5906.0,55.26100015640259,469.70000410079956,186.0,40.0,237.78,897.3710021972656,236.06,516.0,2079.0,31.826999723911285,157.0,6.0,12.0,12.0,12.0,12.0,147.2717928737402,7.0,4.0,124.0,316.0,444.0,3841.0,121.55800008773804,33.0,33.0,33.0,33.0,364.0,57.0,288.86538541316986,4.0,3.0,1509.0,184.0,46.0,19.0,35.0,0.0,368.0,28.170000165700912,19.0,22.0,86.36399841308594,58.0,0.0,3.0,5.0,5.0,6.0,0.0,3.0,6.0,6.0,7.0,35.0,35.0,100.0,10.0,9.0,-6.0,18.0,22.0,18.0,22.0,75.0,43.0,75.0,43.0,479.0,607.0,390.0,997.0,309.0,89.0,88.0,120.0,134.0,51.0,2378.0,66.0,46.62699890136719,40.57699966430664,1.0,26.0
