awayTeam,homeTeam,awayScore,homeScore
Ravens,Chiefs,20,27
Packers,Eagles,29,34
Steelers,Falcons,18,10
Cardinals,Bills,28,34
Titans,Bears,17,24
Patriots,Bengals,16,10
Texans,Colts,29,27
Jaguars,Dolphins,17,20
Panthers,Saints,10,47
Vikings,Giants,28,6
Raiders,Chargers,10,22
Broncos,Seahawks,20,26
Cowboys,Browns,33,17
Commanders,Buccaneers,20,37
Rams,Lions,20,26
Jets,49ers,19,32
Bills,Dolphins,31,10
Saints,Cowboys,44,19
Buccaneers,Lions,20,16
Colts,Packers,10,16
Jets,Titans,24,17
49ers,Vikings,17,23
Seahawks,Patriots,23,20
Giants,Commanders,18,21
Chargers,Panthers,26,3
Browns,Jaguars,18,13
Raiders,Ravens,26,23
Rams,Cardinals,10,41
Steelers,Broncos,13,6
Bengals,Chiefs,25,26
Bears,Texans,13,19
Falcons,Eagles,22,21
Patriots,Jets,3,24
Giants,Browns,21,15
Packers,Titans,30,14
Bears,Colts,16,21
Texans,Vikings,7,34
Eagles,Saints,15,12
Chargers,Steelers,10,20
Broncos,Buccaneers,26,7
Panthers,Raiders,36,22
Dolphins,Seahawks,3,24
Ravens,Cowboys,28,25
49ers,Rams,24,27
Lions,Cardinals,20,13
Chiefs,Falcons,22,17
Jaguars,Bills,10,47
Commanders,Bengals,38,33
Cowboys,Giants,20,15
Saints,Falcons,24,26
Rams,Bears,18,24
Vikings,Packers,31,29
Steelers,Colts,24,27
Broncos,Jets,10,9
Eagles,Buccaneers,16,33
Bengals,Panthers,34,24
Jaguars,Texans,20,24
Commanders,Cardinals,42,14
Patriots,49ers,13,30
Browns,Raiders,16,20
Chiefs,Chargers,17,10
Bills,Ravens,10,35
Titans,Dolphins,31,12
Seahawks,Lions,29,42
Buccaneers,Falcons,30,36
Jets,Vikings,17,23
Panthers,Bears,10,36
Ravens,Bengals,41,38
Dolphins,Patriots,15,10
Browns,Commanders,13,34
Colts,Jaguars,34,37
Bills,Texans,20,23
Raiders,Broncos,18,34
Cardinals,49ers,24,23
Packers,Rams,24,19
Giants,Seahawks,29,20
Cowboys,Steelers,20,17
Saints,Chiefs,13,26
49ers,Seahawks,36,24
Jaguars,Bears,16,35
Cardinals,Packers,13,34
Colts,Titans,20,17
Texans,Patriots,41,21
Buccaneers,Saints,51,27
Browns,Eagles,16,20
Commanders,Ravens,23,30
Chargers,Broncos,23,16
Steelers,Raiders,32,13
Lions,Cowboys,47,9
Falcons,Panthers,38,20
Bengals,Giants,17,7
Bills,Jets,23,20
Broncos,Saints,33,10
Patriots,Jaguars,16,32
Seahawks,Falcons,34,14
Titans,Bills,10,34
Bengals,Browns,21,14
Texans,Packers,22,24
Dolphins,Colts,10,16
Lions,Vikings,31,29
Eagles,Giants,28,3
Raiders,Rams,15,20
Panthers,Commanders,7,40
Chiefs,49ers,28,18
Jets,Steelers,15,37
Ravens,Buccaneers,41,31
Chargers,Cardinals,15,17
Vikings,Rams,20,30
Eagles,Bengals,37,17
Ravens,Browns,24,29
Titans,Lions,14,52
Cardinals,Dolphins,28,27
Jets,Patriots,22,25
Falcons,Buccaneers,31,26
Packers,Jaguars,30,27
Colts,Texans,20,23
Saints,Chargers,8,26
Bills,Seahawks,31,10
Panthers,Broncos,14,28
Chiefs,Raiders,27,20
Bears,Commanders,15,18
Cowboys,49ers,24,30
Giants,Steelers,18,26
Texans,Jets,13,21
Cowboys,Falcons,21,27
Dolphins,Bills,27,30
