team,fumblesForced,fumblesRecovered,fumblesTouchdowns,interceptions,interceptions,sacks,sacks,sackYardsLost,soloTackles,assistTackles,totalTackles,sackYards,tacklesForLoss,passesDefended,longInterception,interceptionYards,punts,puntYards,longPunt,grossAvgPuntYards,netAvgPuntYards,puntsBlocked,puntsInside20
49ers,12.0,6.0,0.0,12.0,11.0,32.0,35.0,150.0,593.0,383.0,976.0,179.0,62.0,67.0,142.0,167.0,44.0,1976.0,114.0,89.81800079345703,76.48800277709961,1.0,18.0
Bears,14.0,11.0,-7.0,6.0,11.0,67.0,37.0,459.0,661.0,406.0,1067.0,233.0,75.0,62.0,85.0,87.0,76.0,3657.0,68.0,48.11800003051758,41.98699951171875,0.0,32.0
Bengals,11.0,10.0,0.0,8.0,14.0,37.0,29.5,219.0,605.0,413.0,1018.0,174.5,61.0,73.0,180.0,247.0,49.0,2410.0,80.0,49.183998107910156,42.816001892089844,0.0,23.0
Bills,17.0,14.0,1.0,6.0,14.0,14.0,33.0,63.0,627.0,374.0,1001.0,219.0,80.0,55.0,90.0,119.0,47.0,2223.0,65.0,47.29800033569336,40.854000091552734,1.0,23.0
Broncos,9.0,7.0,0.0,11.0,15.0,22.0,51.0,185.0,606.0,401.0,1007.0,305.0,80.0,65.0,346.0,430.0,71.0,3343.0,65.0,47.084999084472656,42.25400161743164,0.0,32.0
Browns,12.0,8.0,1.0,20.0,4.0,63.0,32.0,356.0,602.0,350.0,952.0,216.0,91.0,56.0,-2.0,-2.0,79.0,3921.0,84.0,49.632999420166016,42.0890007019043,0.0,36.0
Buccaneers,15.0,10.0,-11.0,15.0,7.0,37.0,39.0,233.0,649.0,370.0,1019.0,267.0,69.0,54.0,28.0,28.0,47.0,2065.0,178.0,132.46099853515625,109.24499893188477,0.0,14.0
Cardinals,14.0,8.0,-6.0,9.0,7.0,26.0,39.0,182.0,592.0,440.0,1032.0,228.0,79.0,51.0,12.0,12.0,46.0,2219.0,161.0,131.65800094604492,120.31600189208984,0.0,19.0
Chargers,8.0,5.0,0.0,3.0,14.0,43.0,41.0,262.0,642.0,403.0,1045.0,205.0,69.0,84.0,142.0,169.0,69.0,3223.0,67.0,46.709999084472656,41.88399887084961,0.0,27.0
Chiefs,15.0,7.0,1.0,11.0,13.0,36.0,41.0,239.0,638.0,346.0,984.0,261.0,86.0,69.0,84.0,102.0,57.0,2782.0,72.0,48.80699920654297,41.56100082397461,0.0,22.0
Colts,15.0,9.0,-8.0,17.0,13.0,27.0,34.0,216.0,627.0,398.0,1025.0,224.0,74.0,41.0,69.0,90.0,63.0,3150.0,65.0,50.0,42.540000915527344,0.0,23.0
Commanders,14.0,10.0,0.0,8.0,5.0,39.0,39.0,193.0,610.0,421.0,1031.0,243.0,75.0,49.0,105.0,105.0,42.0,1952.0,74.0,46.47600173950195,42.57099914550781,0.0,17.0
